Word=Confidence Pos=NN StartS=t I
Word=deficit Pos=NN PPos=) StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=current Pos=JJ PPos=DT StartS=f I
Word=account Pos=NN PPos=JJ StartS=f I
Word=reported Pos=VBD PPos=NN StartS=f O
Word=for Pos=IN PPos=VBD StartS=f O
Word=August Pos=NNP PPos=IN StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=The Pos=DT StartS=t I
Word=August Pos=NNP PPos=DT StartS=f I
Word=deficit Pos=NN PPos=NNP StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=the Pos=DT PPos=CC StartS=f I
Word=# Pos=# PPos=DT StartS=f I
Word=2.2 Pos=CD PPos=# StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=gap Pos=NN PPos=CD StartS=f I
Word=registered Pos=VBN PPos=NN StartS=f O
Word=in Pos=IN PPos=VBN StartS=f O
Word=July Pos=NNP PPos=IN StartS=f I
Word=are Pos=VBP PPos=NNP StartS=f O
Word=topped Pos=VBN PPos=VBP StartS=f O
Word=only Pos=RB PPos=VBN StartS=f O
Word=by Pos=IN PPos=RB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=# Pos=# PPos=DT StartS=f I
Word=2.3 Pos=CD PPos=# StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=deficit Pos=NN PPos=CD StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=October Pos=NNP PPos=IN StartS=f I
Word=1988 Pos=CD PPos=NNP StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=Sanjay Pos=NNP StartS=t I
Word=Joshi Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=European Pos=JJ PPos=, StartS=f I
Word=economist Pos=NN PPos=JJ StartS=f I
Word=at Pos=IN PPos=NN StartS=f O
Word=Baring Pos=NNP PPos=IN StartS=f I
Word=Brothers Pos=NNPS PPos=NNP StartS=f I
Word=& Pos=CC PPos=NNPS StartS=f I
Word=Co. Pos=NNP PPos=CC StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=said Pos=VBD PPos=, StartS=f O
Word=there Pos=EX PPos=VBD StartS=f I
Word=is Pos=VBZ PPos=EX StartS=f O
Word=no Pos=DT PPos=VBZ StartS=f I
Word=sign Pos=NN PPos=DT StartS=f I
Word=that Pos=IN PPos=NN StartS=f O
Word=Britain Pos=NNP PPos=IN StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=manufacturing Pos=NN PPos=POS StartS=f I
Word=industry Pos=NN PPos=NN StartS=f I
Word=is Pos=VBZ PPos=NN StartS=f O
Word=transforming Pos=VBG PPos=VBZ StartS=f O
Word=itself Pos=PRP PPos=VBG StartS=f I
Word=to Pos=TO PPos=PRP StartS=f O
Word=boost Pos=VB PPos=TO StartS=f O
Word=exports Pos=NNS PPos=VB StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=At Pos=IN StartS=t O
Word=the Pos=DT PPos=IN StartS=f I
Word=same Pos=JJ PPos=DT StartS=f I
Word=time Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=he Pos=PRP PPos=, StartS=f I
Word=remains Pos=VBZ PPos=PRP StartS=f O
Word=fairly Pos=RB PPos=VBZ StartS=f O
Word=pessimistic Pos=JJ PPos=RB StartS=f O
Word=about Pos=IN PPos=JJ StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=outlook Pos=NN PPos=DT StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=imports Pos=NNS PPos=IN StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=given Pos=VBN PPos=, StartS=f O
Word=continued Pos=VBD PPos=VBN StartS=f I
Word=high Pos=JJ PPos=VBD StartS=f I
Word=consumer Pos=NN PPos=JJ StartS=f I
Word=and Pos=CC PPos=NN StartS=f I
Word=capital Pos=NN PPos=CC StartS=f I
Word=goods Pos=NNS PPos=NN StartS=f I
Word=inflows Pos=NNS PPos=NNS StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=He Pos=PRP StartS=t I
Word=reckons Pos=VBZ PPos=PRP StartS=f O
Word=the Pos=DT PPos=VBZ StartS=f I
Word=current Pos=JJ PPos=DT StartS=f I
Word=account Pos=NN PPos=JJ StartS=f I
Word=deficit Pos=NN PPos=NN StartS=f I
Word=will Pos=MD PPos=NN StartS=f O
Word=narrow Pos=VB PPos=MD StartS=f O
Word=to Pos=TO PPos=VB StartS=f O
Word=only Pos=RB PPos=TO StartS=f I
Word=# Pos=# PPos=RB StartS=f I
Word=1.8 Pos=CD PPos=# StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=in Pos=IN PPos=CD StartS=f O
Word=September Pos=NNP PPos=IN StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=However Pos=RB StartS=t O
Word=, Pos=, PPos=RB StartS=f O
Word=Mr. Pos=NNP PPos=, StartS=f I
Word=Dillow Pos=NNP PPos=NNP StartS=f I
Word=said Pos=VBD PPos=NNP StartS=f O
Word=he Pos=PRP PPos=VBD StartS=f I
Word=believes Pos=VBZ PPos=PRP StartS=f O
Word=that Pos=IN PPos=VBZ StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=reduction Pos=NN PPos=DT StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=raw Pos=JJ PPos=IN StartS=f I
Word=material Pos=NN PPos=JJ StartS=f I
Word=stockbuilding Pos=VBG PPos=NN StartS=f I
Word=by Pos=IN PPos=VBG StartS=f O
Word=industry Pos=NN PPos=IN StartS=f I
Word=could Pos=MD PPos=NN StartS=f O
Word=lead Pos=VB PPos=MD StartS=f O
Word=to Pos=TO PPos=VB StartS=f O
Word=a Pos=DT PPos=TO StartS=f I
Word=sharp Pos=JJ PPos=DT StartS=f I
Word=drop Pos=NN PPos=JJ StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=imports Pos=NNS PPos=IN StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Combined Pos=VBN StartS=t O
Word=with Pos=IN PPos=VBN StartS=f O
Word=at Pos=IN PPos=IN StartS=f I
Word=least Pos=JJS PPos=IN StartS=f I
Word=some Pos=DT PPos=JJS StartS=f I
Word=rebound Pos=NN PPos=DT StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=exports Pos=NNS PPos=IN StartS=f I
Word=after Pos=IN PPos=NNS StartS=f O
Word=August Pos=NNP PPos=IN StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=unexpected Pos=JJ PPos=POS StartS=f I
Word=decline Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=the Pos=DT PPos=, StartS=f I
Word=deficit Pos=NN PPos=DT StartS=f I
Word=could Pos=MD PPos=NN StartS=f O
Word=narrow Pos=VB PPos=MD StartS=f O
Word=to Pos=TO PPos=VB StartS=f O
Word=as Pos=RB PPos=TO StartS=f I
Word=little Pos=JJ PPos=RB StartS=f I
Word=as Pos=IN PPos=JJ StartS=f I
Word=# Pos=# PPos=IN StartS=f I
Word=1.3 Pos=CD PPos=# StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=Mr. Pos=NNP StartS=t I
Word=Briscoe Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=who Pos=WP PPos=, StartS=f I
Word=also Pos=RB PPos=WP StartS=f O
Word=forecasts Pos=VBZ PPos=RB StartS=f O
Word=a Pos=DT PPos=VBZ StartS=f I
Word=# Pos=# PPos=DT StartS=f I
Word=1.3 Pos=CD PPos=# StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=current Pos=JJ PPos=CD StartS=f I
Word=account Pos=NN PPos=JJ StartS=f I
Word=gap Pos=NN PPos=NN StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=warns Pos=VBZ PPos=, StartS=f O
Word=that Pos=IN PPos=VBZ StartS=f O
Word=even Pos=RB PPos=IN StartS=f O
Word=if Pos=IN PPos=RB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=trade Pos=NN PPos=DT StartS=f I
Word=figures Pos=NNS PPos=NN StartS=f I
Word=are Pos=VBP PPos=NNS StartS=f O
Word=bullish Pos=JJ PPos=VBP StartS=f O
Word=for Pos=IN PPos=JJ StartS=f O
Word=sterling Pos=NN PPos=IN StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=the Pos=DT PPos=, StartS=f I
Word=currency Pos=NN PPos=DT StartS=f I
Word=wo Pos=MD PPos=NN StartS=f O
Word=n't Pos=RB PPos=MD StartS=f O
Word=advance Pos=VB PPos=RB StartS=f O
Word=much Pos=JJ PPos=VB StartS=f I
Word=because Pos=IN PPos=JJ StartS=f O
Word=investors Pos=NNS PPos=IN StartS=f I
Word=will Pos=MD PPos=NNS StartS=f O
Word=want Pos=VB PPos=MD StartS=f O
Word=to Pos=TO PPos=VB StartS=f O
Word=see Pos=VB PPos=TO StartS=f O
Word=further Pos=JJ PPos=VB StartS=f I
Word=evidence Pos=NN PPos=JJ StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=turnaround Pos=NN PPos=DT StartS=f I
Word=before Pos=IN PPos=NN StartS=f O
Word=adjusting Pos=VBG PPos=IN StartS=f O
Word=positions Pos=NNS PPos=VBG StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Nevertheless Pos=RB StartS=t O
Word=, Pos=, PPos=RB StartS=f O
Word=he Pos=PRP PPos=, StartS=f I
Word=noted Pos=VBD PPos=PRP StartS=f O
Word=, Pos=, PPos=VBD StartS=f O
Word=`` Pos=`` PPos=, StartS=f O
Word=No Pos=DT PPos=`` StartS=f I
Word=one Pos=PRP PPos=DT StartS=f I
Word=will Pos=MD PPos=PRP StartS=f O
Word=want Pos=VB PPos=MD StartS=f O
Word=to Pos=TO PPos=VB StartS=f O
Word=go Pos=VB PPos=TO StartS=f O
Word=into Pos=IN PPos=VB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=trade Pos=NN PPos=DT StartS=f I
Word=figures Pos=NNS PPos=NN StartS=f I
Word=without Pos=IN PPos=NNS StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=flat Pos=JJ PPos=DT StartS=f I
Word=position Pos=NN PPos=JJ StartS=f I
Word='' Pos='' PPos=NN StartS=f O
Word=in Pos=IN PPos='' StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=pound Pos=NN PPos=DT StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Meanwhile Pos=RB StartS=t O
Word=, Pos=, PPos=RB StartS=f O
Word=overall Pos=JJ PPos=, StartS=f I
Word=evidence Pos=NN PPos=JJ StartS=f I
Word=on Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=economy Pos=NN PPos=DT StartS=f I
Word=remains Pos=VBZ PPos=NN StartS=f O
Word=fairly Pos=RB PPos=VBZ StartS=f O
Word=clouded Pos=VBN PPos=RB StartS=f O
Word=. Pos=. PPos=VBN StartS=f O

Word=In Pos=IN StartS=t O
Word=his Pos=PRP$ PPos=IN StartS=f I
Word=Mansion Pos=NNP PPos=PRP$ StartS=f I
Word=House Pos=NNP PPos=NNP StartS=f I
Word=speech Pos=NN PPos=NNP StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=Mr. Pos=NNP PPos=, StartS=f I
Word=Lawson Pos=NNP PPos=NNP StartS=f I
Word=warned Pos=VBD PPos=NNP StartS=f O
Word=that Pos=IN PPos=VBD StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=further Pos=JJ PPos=DT StartS=f I
Word=slowdown Pos=NN PPos=JJ StartS=f I
Word=can Pos=MD PPos=NN StartS=f O
Word=be Pos=VB PPos=MD StartS=f O
Word=expected Pos=VBN PPos=VB StartS=f O
Word=as Pos=IN PPos=VBN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=impact Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=last Pos=JJ PPos=DT StartS=f I
Word=rise Pos=NN PPos=JJ StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=interest Pos=NN PPos=IN StartS=f I
Word=rates Pos=NNS PPos=NN StartS=f I
Word=earlier Pos=RBR PPos=NNS StartS=f B
Word=this Pos=DT PPos=RBR StartS=f I
Word=month Pos=NN PPos=DT StartS=f I
Word=takes Pos=VBZ PPos=NN StartS=f O
Word=effect Pos=NN PPos=VBZ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=U.K. Pos=JJ StartS=t I
Word=base Pos=NN PPos=JJ StartS=f I
Word=rates Pos=NNS PPos=NN StartS=f I
Word=are Pos=VBP PPos=NNS StartS=f O
Word=at Pos=IN PPos=VBP StartS=f O
Word=their Pos=PRP$ PPos=IN StartS=f I
Word=highest Pos=JJS PPos=PRP$ StartS=f I
Word=level Pos=NN PPos=JJS StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=eight Pos=CD PPos=IN StartS=f I
Word=years Pos=NNS PPos=CD StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=But Pos=CC StartS=t O
Word=consumer Pos=NN PPos=CC StartS=f I
Word=expenditure Pos=NN PPos=NN StartS=f I
Word=data Pos=NNS PPos=NN StartS=f I
Word=released Pos=VBD PPos=NNS StartS=f O
Word=Friday Pos=NNP PPos=VBD StartS=f I
Word=do Pos=VBP PPos=NNP StartS=f O
Word=n't Pos=RB PPos=VBP StartS=f O
Word=suggest Pos=VB PPos=RB StartS=f O
Word=that Pos=IN PPos=VB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=U.K. Pos=NNP PPos=DT StartS=f I
Word=economy Pos=NN PPos=NNP StartS=f I
Word=is Pos=VBZ PPos=NN StartS=f O
Word=slowing Pos=VBG PPos=VBZ StartS=f O
Word=that Pos=DT PPos=VBG StartS=f O
Word=quickly Pos=RB PPos=DT StartS=f O
Word=. Pos=. PPos=RB StartS=f O

Word=The Pos=DT StartS=t I
Word=figures Pos=NNS PPos=DT StartS=f I
Word=show Pos=VBP PPos=NNS StartS=f O
Word=that Pos=DT PPos=VBP StartS=f O
Word=spending Pos=NN PPos=DT StartS=f I
Word=rose Pos=VBD PPos=NN StartS=f O
Word=0.1 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=third Pos=JJ PPos=DT StartS=f I
Word=quarter Pos=NN PPos=JJ StartS=f I
Word=from Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=second Pos=JJ PPos=DT StartS=f I
Word=quarter Pos=NN PPos=JJ StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=was Pos=VBD PPos=CC StartS=f O
Word=up Pos=IN PPos=VBD StartS=f O
Word=3.8 Pos=CD PPos=IN StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=from Pos=IN PPos=NN StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=year Pos=NN PPos=DT StartS=f I
Word=ago Pos=RB PPos=NN StartS=f O
Word=. Pos=. PPos=RB StartS=f O

Word=This Pos=DT StartS=t I
Word=compares Pos=VBZ PPos=DT StartS=f O
Word=with Pos=IN PPos=VBZ StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=1.6 Pos=CD PPos=DT StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=rise Pos=NN PPos=NN StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=second Pos=NN PPos=DT StartS=f I
Word=from Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=first Pos=JJ PPos=DT StartS=f I
Word=quarter Pos=NN PPos=JJ StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=a Pos=DT PPos=CC StartS=f I
Word=5.4 Pos=CD PPos=DT StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=increase Pos=NN PPos=NN StartS=f I
Word=from Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=second Pos=JJ PPos=DT StartS=f I
Word=quarter Pos=NN PPos=JJ StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=1988 Pos=CD PPos=IN StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=Mr. Pos=NNP StartS=t I
Word=Dillow Pos=NNP PPos=NNP StartS=f I
Word=said Pos=VBD PPos=NNP StartS=f O
